,Unnamed: 0,user_id,age,Language,city,state,country
97,97,226745,38.0,en,humble,",",
98,98,9,34.74389988072476,en,germantown,tennessee,usa
99,99,243,34.74389988072476,en,arden hills,minnesota,usa
100,100,388,35.0,en,nashville,tennessee,usa
101,101,2977,25.0,en,richland,washington,usa
102,102,3329,34.74389988072476,en,grantsville,utah,usa
104,104,5760,19.0,en,springfield,",",
105,105,6795,31.0,en,portland,oregon,usa
106,106,7346,49.0,en,sunnyvale,california,usa
107,107,7352,53.0,en,houston,texas,usa
108,108,9419,34.74389988072476,en,somewhere,texas,usa
109,109,9747,34.74389988072476,en,o`fallon,missouri,usa
110,110,9856,22.0,en,glendale,colorado,usa
111,111,11224,51.0,en,tumwater,washington,usa
113,113,12685,34.74389988072476,en,charlotte,north carolina,usa
114,114,12923,39.0,en,louisville,kentucky,usa
115,115,13552,32.0,en,cordova,tennessee,usa
116,116,13582,29.0,en,lisboa,lisboa,portugal
117,117,14521,34.74389988072476,en,providence,rhode island,usa
118,118,16666,34.74389988072476,en,rogersville,tennessee,usa
119,119,16795,47.0,en,mechanicsville,maryland,usa
120,120,17761,34.74389988072476,en,pinckney,michigan,usa
121,121,19445,34.74389988072476,en,selden,new york,usa
122,122,20435,62.0,en,fairhope,alabama,usa
123,123,20462,34.74389988072476,en,bossier city,louisiana,usa
124,124,20783,34.74389988072476,en,york,pennsylvania,usa
125,125,20801,29.0,en,rio de janeiro,rio de janeiro,brazil
126,126,20916,34.74389988072476,en,elmwood,massachusetts,usa
127,127,21264,31.0,en,north brunswick,new jersey,usa
128,128,23511,56.0,en,chapel hill,north carolina,usa
129,129,23768,45.0,en,st. louis,missouri,usa
130,130,26240,34.74389988072476,en,sacramento,california,usa
131,131,26544,37.0,en,woodbridge,virginia,usa
132,132,26593,34.74389988072476,en,peoria,arizona,usa
133,133,27684,34.74389988072476,en,knox,pennsylvania,usa
134,134,28123,34.74389988072476,en,indiuanapolis,indiana,usa
135,135,28619,34.74389988072476,en,hartford,connecticut,usa
136,136,29654,42.0,en,offenbach,hessen,germany
137,137,30487,40.0,en,newbury park,california,usa
138,138,30533,34.74389988072476,en,charleston,south carolina,usa
139,139,31299,74.0,en,homer city,pennsylvania,usa
140,140,31315,34.0,en,henryville,indiana,usa
141,141,31556,51.0,en,chula vista,california,usa
142,142,31560,34.74389988072476,en,charleston,south carolina,usa
143,143,31694,34.74389988072476,en,chula vista,california,usa
144,144,32516,44.0,en,st. rose,louisiana,usa
145,145,35857,36.0,en,mentor,ohio,usa
146,146,35859,34.74389988072476,en,duluth,minnesota,usa
147,147,36606,39.0,en,san marcos,california,usa
148,148,37874,43.0,en,williamsburg,virginia,usa
149,149,38718,34.74389988072476,en,aloha,",",
150,150,38991,68.0,en,cumby,texas,usa
151,151,39345,47.0,en,jacksonville,florida,usa
152,152,39646,35.0,en,fairless hills,pennsylvania,usa
153,153,40889,37.0,en,brainerd,minnesota,usa
154,154,41781,54.0,en,clinton twp.,michigan,usa
155,155,44663,34.74389988072476,en,klang,selangor,malaysia
156,156,45585,34.74389988072476,en,san diego,california,usa
157,157,46389,55.0,en,pine knoll shores,north carolina,usa
159,159,46767,24.0,en,leipzig,sachsen,germany
160,160,47971,40.0,en,toronto,ontario,canada
161,161,48268,18.0,en,vienna,vienna,austria
162,162,48911,57.0,en,new orleans,louisiana,usa
163,163,49168,57.0,en,ivydale,west virginia,usa
164,164,49994,40.0,en,clintonville,wisconsin,usa
165,165,52584,45.0,en,livermore,california,usa
166,166,52994,34.74389988072476,en,colton,oregon,usa
167,167,54005,59.0,en,lacey,washington,usa
168,168,54884,33.0,en,nashua,new hampshire,usa
169,169,55027,44.0,en,burlington,north carolina,usa
170,170,55419,34.74389988072476,en,cassville,missouri,usa
171,171,55492,43.0,en,antioch,illinois,usa
172,172,57108,38.0,en,new york,new york,usa
173,173,57423,34.74389988072476,en,coburg,oregon,usa
174,174,57632,34.74389988072476,en,pearland,"texas,",
175,175,59038,28.0,en,san antonio,texas,usa
176,176,59390,34.74389988072476,en,uniontown,pennsylvania,usa
177,177,60130,41.0,en,lowell,arkansas,usa
178,178,60569,41.0,en,chardon,ohio,usa
179,179,60683,47.0,en,hartford,wisconsin,usa
180,180,62667,53.0,en,warsaw,virginia,usa
181,181,62881,39.0,en,milwaukee,wisconsin,usa
182,182,63470,56.0,en,reno,nevada,usa
183,183,64535,43.0,en,fredericksburg,virginia,usa
184,184,64605,34.74389988072476,en,san ramon,california,usa
185,185,64679,34.74389988072476,en,buffalo grove,illinois,usa
186,186,66387,52.0,en,kokomo,indiana,usa
187,187,67487,33.0,en,melbourne,florida,usa
188,188,68256,28.0,en,chickasha,oklahoma,usa
189,189,68537,70.0,en,friendswood,texas,usa
190,190,69232,55.0,en,mooresville,north carolina,usa
191,191,70205,34.74389988072476,en,fresno,california,usa
192,192,70666,18.0,en,warwick,rhode island,usa
193,193,72523,34.74389988072476,en,grand island,new york,usa
194,194,72912,34.74389988072476,en,defuniak,florida,usa
195,195,72975,21.0,en,minneapolis,minnesota,usa
196,196,74709,21.0,en,macomb,michigan,usa
197,197,75691,17.0,en,cincinnati,ohio,usa
198,198,75819,34.74389988072476,en,west falls,new york,usa
199,199,76352,58.0,en,olympia,washington,usa
200,200,76368,34.74389988072476,en,langley,british columbia,canada
201,201,76942,25.0,en,sacramento,california,usa
202,202,78165,34.74389988072476,en,bologna,emilia romagna,italy
203,203,78754,34.74389988072476,en,dwight,illinois,usa
204,204,78834,28.0,en,honolulu,hawaii,usa
205,205,78973,29.0,en,amadora,lisboa,portugal
206,206,79186,37.0,en,fairbanks,alaska,usa
207,207,79740,24.0,en,st. louis,missouri,usa
208,208,80810,33.0,en,warrensburg,missouri,usa
209,209,81088,18.0,en,romsey,hampshire,united kingdom
210,210,81298,20.0,en,savannah,georgia,usa
211,211,82114,34.74389988072476,en,fair oaks,california,usa
212,212,82893,40.0,en,san antonio,texas,usa
213,213,83034,34.74389988072476,en,fairbanks,alaska,usa
214,214,84024,37.0,en,abilene,texas,usa
215,215,84611,34.74389988072476,en,fremont,california,usa
216,216,85534,49.0,en,cleveland,ohio,usa
217,217,86303,31.0,en,denver,colorado,usa
218,218,86969,59.0,en,forest grove,oregon,usa
219,219,87257,34.74389988072476,en,coeur d`alene,idaho,usa
220,220,87929,25.0,en,portland,maine,usa
221,221,88006,27.0,en,fresno,california,usa
222,222,90322,34.74389988072476,en,lakeland,minnesota,usa
223,223,91633,21.0,en,french camp,california,usa
224,224,91832,34.74389988072476,en,miami,florida,usa
225,225,93055,34.74389988072476,en,st. charles,missouri,usa
226,226,93363,30.0,en,farmington hills,michigan,usa
227,227,93643,34.74389988072476,en,bergheim,texas,usa
228,228,93772,34.74389988072476,en,portland,oregon,usa
229,229,93800,52.0,en,mount vernon,washington,usa
230,230,94074,23.0,en,zevenaar,gelderland,netherlands
231,231,94139,34.74389988072476,en,san marcos,california,usa
232,232,94396,62.0,en,shoreline,washington,usa
233,233,97721,46.0,en,castro valley,california,usa
234,234,98012,48.0,en,friday harbor,washington,usa
235,235,98468,33.0,en,eugene,oregon,usa
236,236,98723,29.0,en,cincinnati,ohio,usa
237,237,98923,34.74389988072476,en,liberty township,ohio,usa
238,238,100009,49.0,en,victoria,british columbia,canada
239,239,100393,34.74389988072476,en,riverside,california,usa
240,240,101209,44.0,en,ft huachuca,arizona,usa
241,241,102647,14.0,en,modesto,california,usa
242,242,102967,54.0,en,olympia,washington,usa
243,243,103315,32.0,en,norton,ohio,usa
244,244,103416,33.0,en,tucson,arizona,usa
245,245,105124,34.74389988072476,en,sarasota,",",
246,246,105624,35.0,en,royersford,pennsylvania,usa
247,247,105937,27.0,en,tampa,florida,usa
248,248,105979,26.0,en,oakland,california,usa
249,249,106230,34.74389988072476,en,dumas,texas,usa
250,250,106273,28.0,en,paducah,kentucky,usa
251,251,107201,38.0,en,troy,michigan,usa
252,252,107244,50.0,en,appleton,wisconsin,usa
253,253,107784,34.74389988072476,en,tarentum,pennsylvania,usa
254,254,108143,17.0,en,cincinnati,ohio,usa
255,255,108207,34.74389988072476,en,buffalo,new york,usa
256,256,108247,34.74389988072476,en,winterville,north carolina,usa
257,257,110127,34.74389988072476,en,cambridge,massachusetts,usa
258,258,110440,29.0,en,fairfax,virginia,usa
259,259,110558,34.74389988072476,en,los angeles,california,usa
260,260,110973,43.0,en,wiley ford,west virginia,usa
261,261,112001,43.0,en,barren springs,virginia,usa
262,262,112093,35.0,en,spencer,indiana,usa
263,263,112280,50.0,en,saint  charles,missouri,usa
264,264,113328,34.74389988072476,en,painted post,new york,usa
265,265,114544,35.0,en,antelope,california,usa
266,266,115003,43.0,en,asheville,north carolina,usa
267,267,115120,29.0,en,sherman oaks,california,usa
268,268,116127,34.74389988072476,en,vancouver,washington,usa
269,269,116428,47.0,en,pickering,ontario,canada
270,270,117594,26.0,en,moline,illinois,usa
271,271,118659,37.0,en,blacksburg,virginia,usa
272,272,119332,34.74389988072476,en,berlin,berlin,germany
273,273,120396,46.0,en,boyce,virginia,usa
274,274,120771,49.0,en,garland,texas,usa
275,275,122251,30.0,en,hampden,north dakota,usa
276,276,122440,29.0,en,vancouver,british columbia,canada
277,277,122658,34.74389988072476,en,atlanta,georgia,usa
278,278,123137,34.74389988072476,en,decatur,georgia,usa
279,279,123430,34.74389988072476,en,manning,south carolina,usa
280,280,123790,25.0,en,mount vernon,new york,usa
281,281,123981,46.0,en,phoenix,arizona,usa
282,282,124259,34.74389988072476,en,boulder,colorado,usa
283,283,124363,36.0,en,tallahassee,florida,usa
284,284,124487,34.74389988072476,en,ramah,new mexico,usa
285,285,125039,27.0,en,lafayette,indiana,usa
286,286,125519,40.0,en,irvine,california,usa
287,287,126492,31.0,en,westmont,illinois,usa
288,288,127200,34.74389988072476,en,urbana,illinois,usa
289,289,128185,39.0,en,glendale,missouri,usa
290,290,128208,34.0,en,san antonio,texas,usa
291,291,128463,34.74389988072476,en,jersey city,new jersey,usa
292,292,129084,39.0,en,boise,idaho,usa
293,293,130784,34.74389988072476,en,ferndale,washington,usa
294,294,131046,26.0,en,ellington,connecticut,usa
295,295,131681,48.0,en,muskegon,michigan,usa
296,296,131703,34.74389988072476,en,endicott,new york,usa
297,297,131837,34.74389988072476,en,west valley city,utah,usa
298,298,132144,34.74389988072476,en,seattle,washington,usa
299,299,133706,30.0,en,palmyra,western australia,australia
300,300,133738,28.0,en,indianapolis,indiana,usa
301,301,134264,34.74389988072476,en,phoenix,arizona,usa
302,302,134797,34.74389988072476,en,elk grove,california,usa
303,303,134863,34.74389988072476,en,san jose,california,usa
304,304,135149,34.74389988072476,en,ft. pierce,florida,usa
305,305,135831,34.74389988072476,en,potomac falls,virginia,usa
306,306,136096,47.0,en,arlington,virginia,usa
307,307,136396,34.0,en,warren,ohio,usa
308,308,136707,50.0,en,laplace,louisiana,usa
309,309,137589,35.0,en,enterprise,oregon,usa
310,310,140824,53.0,en,wetzlar,hessen,germany
311,311,141444,34.74389988072476,en,west springfield,"massachusetts,",
312,312,142093,34.74389988072476,en,storm lake,iowa,usa
313,313,143134,27.0,en,marion,arkansas,usa
314,314,143253,27.0,en,dyersburg,tennessee,usa
315,315,143939,34.74389988072476,en,ellensburg,washington,usa
316,316,144062,16.0,en,stow,massachusetts,usa
317,317,144255,34.74389988072476,en,riedstadt,hessen,germany
318,318,144478,39.0,en,galveston,texas,usa
319,319,144531,37.0,en,pleasanton,california,usa
320,320,145619,36.0,en,middletown,connecticut,usa
321,321,146113,34.74389988072476,en,cary,north carolina,usa
322,322,146279,42.0,en,camdenton,missouri,usa
323,323,146816,34.74389988072476,en,minneapolis,minnesota,usa
324,324,147965,34.74389988072476,en,lake wales,florida,usa
325,325,148879,34.74389988072476,en,cumming,georgia,usa
326,326,149120,34.74389988072476,en,hillsdale,michigan,usa
327,327,150400,34.74389988072476,en,sacramento,california,usa
328,328,150896,30.0,en,vancouver,washington,usa
329,329,151004,41.0,en,millburn,new jersey,usa
330,330,151063,70.0,en,san antonio,texas,usa
331,331,152354,34.74389988072476,en,boston,massachusetts,usa
332,332,152696,34.74389988072476,en,studio city,california,usa
333,333,153513,31.0,en,little rock,arkansas,usa
334,334,153718,27.0,en,round lake,illinois,usa
335,335,154730,42.0,en,encinitas,california,usa
336,336,155495,26.0,en,hood river,oregon,usa
337,337,156300,49.0,en,pinon hills,california,usa
338,338,159440,27.0,en,lille,nord,france
339,339,159506,28.0,en,portland,oregon,usa
340,340,160735,39.0,en,blaine,minnesota,usa
341,341,160819,43.0,en,miami,florida,usa
342,342,161870,34.74389988072476,en,steubenville,ohio,usa
343,343,163194,57.0,en,west linn,",",
344,344,163693,37.0,en,decatur,alabama,usa
345,345,164323,31.0,en,delta,british columbia,canada
346,346,165618,34.74389988072476,en,pforzheim,baden-wuerttemberg,germany
347,347,165842,34.74389988072476,en,doylestown,pennsylvania,usa
348,348,165884,34.74389988072476,en,louisville,kentucky,usa
349,349,166391,60.0,en,hanover,pennsylvania,usa
350,350,167038,34.74389988072476,en,kissimmee,florida,usa
351,351,167800,57.0,en,olive branch,mississippi,usa
352,352,168132,37.0,en,middletown,maryland,usa
353,353,169403,43.0,en,marietta,georgia,usa
354,354,170518,61.0,en,gaithersburg,maryland,usa
355,355,170580,34.74389988072476,en,carlsbad,california,usa
356,356,171078,43.0,en,langley,british columbia,canada
357,357,172539,34.74389988072476,en,lakewood,california,usa
358,358,172742,44.0,en,astoria,oregon,usa
359,359,173415,31.0,en,chicago,illinois,usa
360,360,173684,15.0,en,chula vista,california,usa
361,361,174642,34.74389988072476,en,zelienople,pennsylvania,usa
362,362,175117,34.74389988072476,en,royersford,pennsylvania,usa
363,363,176477,46.0,en,university heights,ohio,usa
364,364,176709,34.74389988072476,en,galax,virginia,usa
365,365,176790,43.0,en,irvine,california,usa
366,366,176894,32.0,en,salt lake city,utah,usa
367,367,178130,45.0,en,auburn,washington,usa
368,368,179068,30.0,en,omaha,nebraska,usa
369,369,181519,34.74389988072476,en,oakville,connecticut,usa
370,370,182459,28.0,en,fort wayne,indiana,usa
371,371,182746,44.0,en,jacksonville,florida,usa
372,372,185384,34.74389988072476,en,st. charles,missouri,usa
373,373,185722,24.0,en,long beach,california,usa
374,374,186570,28.0,en,rantoul,illinois,usa
375,375,187266,66.0,en,gordon,nebraska,usa
376,376,187533,68.0,en,san jose,san jose,costa rica
377,377,187944,41.0,en,hopatcong,new jersey,usa
378,378,189655,34.74389988072476,en,pittsburgh,pennsylvania,usa
379,379,190741,52.0,en,corpus christi,texas,usa
380,380,192353,26.0,en,las vegas,nevada,usa
381,381,192399,34.74389988072476,en,grand rapids,michigan,usa
382,382,192621,34.74389988072476,en,olympia,washington,usa
383,383,193529,51.0,en,florissant,missouri,usa
384,384,193898,34.74389988072476,en,paradise,pennsylvania,usa
385,385,195347,34.74389988072476,en,riverside,california,usa
386,386,195469,39.0,en,congers,new york,usa
387,387,195694,29.0,en,tucson,arizona,usa
388,388,197364,30.0,en,cumming,georgia,usa
390,390,198046,51.0,en,milwaukee,wisconsin,usa
391,391,198412,17.0,en,waretown,new jersey,usa
392,392,198483,34.74389988072476,en,silver spring,maryland,usa
393,393,198711,62.0,en,little canada,minnesota,usa
394,394,199092,50.0,en,rotterdam,zuid-holland,netherlands
395,395,199640,34.74389988072476,en,bellingham,washington,usa
396,396,200234,53.0,en,r.r.#1 battersea,ontario,canada
397,397,200402,35.0,en,campbell,california,usa
399,399,201548,29.0,en,rheinfelden,baden-wuerttemberg,germany
400,400,202619,28.0,en,encino,california,usa
401,401,203649,41.0,en,mount vernon,kentucky,usa
402,402,203968,34.74389988072476,en,cumberland,maryland,usa
403,403,204504,41.0,en,woodside,new york,usa
404,404,205963,56.0,en,santa clara,california,usa
405,405,206423,34.74389988072476,en,columbia,maryland,usa
406,406,207259,38.0,en,florence,oregon,usa
407,407,207291,34.74389988072476,en,brisbane,queensland,australia
408,408,207782,28.0,en,midland,texas,usa
409,409,207825,52.0,en,fairbanks,alaska,usa
410,410,208147,41.0,en,federal way,washington,usa
411,411,208607,34.74389988072476,en,springfield,nebraska,usa
412,412,210276,67.0,en,north fort myers,",",
413,413,210717,42.0,en,wantagh,new york,usa
414,414,210838,66.0,en,springfield,illinois,usa
415,415,211321,19.0,en,cincinnati,ohio,usa
416,416,212806,34.74389988072476,en,columbia,south carolina,usa
417,417,213220,34.74389988072476,en,york,pennsylvania,usa
418,418,213733,34.74389988072476,en,boulder,colorado,usa
419,419,213760,32.0,en,omaha,nebraska,usa
420,420,214786,34.74389988072476,en,boone county,kentucky,usa
421,421,215256,34.0,en,sun valley,california,usa
422,422,215949,34.74389988072476,en,brown city,michigan,usa
423,423,216670,34.74389988072476,en,pensacola,florida,usa
424,424,216683,34.74389988072476,en,san jose,california,usa
425,425,217375,35.0,en,st. petersburg,florida,usa
426,426,217516,56.0,en,loudoun county,virginia,usa
427,427,217986,35.0,en,ypsilanti,michigan,usa
428,428,218121,34.74389988072476,en,brighton,colorado,usa
429,429,221445,34.74389988072476,en,portland,oregon,usa
430,430,222217,25.0,en,hamburg,hamburg,germany
431,431,223331,34.74389988072476,en,fort lauderdale,florida,usa
432,432,224435,24.0,en,warren,michigan,usa
433,433,224764,34.74389988072476,en,rockaway,new jersey,usa
434,434,225717,33.0,en,warsaw,mazowiecka,poland
435,435,225810,56.0,en,el cajon,california,usa
436,436,225826,23.0,en,dallas,oregon,usa
437,437,225989,27.0,en,palmdale,california,usa
438,438,226638,50.0,en,reno,nevada,usa
439,439,227392,30.0,en,waltham,massachusetts,usa
440,440,228187,58.0,en,st. clair,missouri,usa
441,441,229011,34.74389988072476,en,mclean,virginia,usa
442,442,229609,40.0,en,vancouver,washington,usa
444,444,231237,34.74389988072476,en,waianae,hawaii,us
445,445,231865,34.0,en,portland,oregon,usa
446,446,232131,34.74389988072476,en,oakland,california,usa
447,447,232271,46.0,en,iowa city,iowa,usa
448,448,232945,28.0,en,newport,rhode island,usa
449,449,233731,44.0,en,kingston,ontario,canada
450,450,234623,34.74389988072476,en,scarborough,maine,usa
451,451,235059,24.0,en,aurora,illinois,usa
452,452,235842,41.0,en,griswold,iowa,usa
453,453,235935,43.0,en,bridgeton,new jersey,usa
454,454,236172,34.0,en,chesapeake,virginia,usa
455,455,240024,40.0,en,amarillo,texas,usa
456,456,240144,34.0,en,muskego,wisconsin,usa
457,457,240567,33.0,en,hawthorne,new jersey,usa
458,458,240951,41.0,en,austin,minnesota,usa
459,459,241306,32.0,en,colfax,north carolina,usa
460,460,241548,44.0,en,saratoga,california,usa
461,461,241666,35.0,en,san francisco,california,usa
462,462,241980,35.0,en,ashburn,virginia,usa
463,463,242843,43.0,en,scottsdale,arizona,usa
464,464,242891,84.0,en,rockwall,texas,usa
465,465,243930,43.0,en,montreuil,seine saint-denis,france
466,466,244349,40.0,en,los banos,california,usa
467,467,244627,32.0,en,shelbyville,tennessee,usa
468,468,244761,34.74389988072476,en,santa rosa,california,usa
469,469,245616,28.0,en,sacramento,california,usa
471,471,245963,34.74389988072476,en,saint louis,missouri,usa
472,472,246333,31.0,en,memphis,tennessee,usa
473,473,246550,38.0,en,fort irwin,california,usa
474,474,246655,34.74389988072476,en,mooresville,north carolina,usa
475,475,249954,34.74389988072476,en,pueblo,colorado,usa
476,476,250101,61.0,en,phoenix,arizona,usa
477,477,250184,34.74389988072476,en,renton,washington,usa
478,478,251122,34.74389988072476,en,hartley,iowa,usa
479,479,251377,34.74389988072476,en,sacramento,california,usa
480,480,251613,34.0,en,sonoma,california,usa
481,481,251851,43.0,en,woodbury,",",
482,482,252777,34.0,en,anaheim,california,usa
483,483,253106,45.0,en,westchester county,new york,usa
484,484,254971,53.0,en,boise,idaho,usa
485,485,255719,30.0,en,columbus,ohio,usa
486,486,256407,58.0,en,florissant,missouri,usa
487,487,256925,32.0,en,louisville,kentucky,usa
488,488,258534,32.0,en,mcqueeney,texas,usa
489,489,258884,34.74389988072476,en,belvidere,illinois,usa
490,490,259078,49.0,en,fairbanks,alaska,usa
491,491,259223,82.0,en,twin falls,idaho,"idaho, usa"
492,492,259543,34.74389988072476,en,south san francisco,california,usa
493,493,259778,34.74389988072476,en,hillsboro,oregon,usa
494,494,259846,34.74389988072476,en,rohnert park,calabria,usa
495,495,260897,25.0,en,chicago,illinois,usa
496,496,261378,34.74389988072476,en,omaha,nebraska,usa
497,497,261829,32.0,en,fpo,ap,usa
498,498,262846,34.74389988072476,en,greenville,texas,usa
499,499,263163,26.0,en,austin,texas,usa
500,500,263644,34.74389988072476,en,mendon,massachusetts,usa
501,501,263877,44.0,en,victoria,british columbia,canada
502,502,265115,34.74389988072476,en,vista,california,usa
503,503,265276,39.0,en,missoula,montana,usa
504,504,265313,33.0,en,morrisville,north carolina,usa
505,505,266268,34.74389988072476,en,camden,south carolina,usa
506,506,267549,34.0,en,olympia,washington,usa
507,507,268330,23.0,en,miami,florida,usa
508,508,269566,9.0,en,seattle,washington,usa
509,509,269614,46.0,en,beaver dam,wisconsin,usa
510,510,271284,50.0,en,alexandria,virginia,usa
511,511,271558,35.0,en,henderson,nevada,usa
512,512,273190,71.0,en,coconut grove,",",
513,513,273979,20.0,en,bloomsburg,pennsylvania,usa
514,514,274167,52.0,en,whitehorse,yukon territory,canada
515,515,274308,33.0,en,delray beach,florida,usa
516,516,274823,34.74389988072476,en,austin,texas,usa
517,517,276641,25.0,en,porto,porto,portugal
518,518,277478,31.0,en,schiedam,zuid-holland,netherlands
519,519,278144,48.0,en,storm lake,iowa,usa
521,521,3373,30.0,en,elk grove,california,usa
522,522,4781,47.0,en,manchester,new hampshire,usa
523,523,5555,34.74389988072476,en,perigny,poitou-charentes,france
524,524,6026,34.74389988072476,en,bangor,maine,usa
525,525,6242,34.74389988072476,en,calgary,alberta,canada
526,526,7210,34.74389988072476,en,rothesay,new brunswick,canada
527,527,8362,28.0,en,los angeles,california,usa
528,528,8570,23.0,en,rochester,new york,usa
529,529,11104,34.74389988072476,en,wyncote,pennsylvania,usa
531,531,12863,29.0,en,london,england,united kingdom
532,532,14449,72.0,en,saskatoon,saskatchewan,canada
533,533,16231,32.0,en,kanata,ontario,canada
534,534,17003,34.74389988072476,en,carlsbad,california,usa
535,535,20265,29.0,en,tampa,florida,usa
536,536,21870,34.74389988072476,en,carlisle,pennsylvania,usa
537,537,22625,54.0,en,lynbrook,new york,usa
539,539,26350,51.0,en,appleton,wisconsin,usa
540,540,27624,54.0,en,london,england,united kingdom
541,541,28056,36.0,en,lancaster,pennsylvania,usa
542,542,32793,22.0,en,quebec,quebec,canada
543,543,34588,34.74389988072476,en,west linn,oregon,usa
544,544,34864,39.0,en,belfort,franche-comté,france
545,545,35904,24.0,en,roanoke,virginia,usa
546,546,36197,44.0,en,topeka,kansas,usa
547,547,36715,34.74389988072476,en,lexington,kentucky,usa
548,548,36907,39.0,en,dunnville,ontario,canada
549,549,40330,34.74389988072476,en,germantown,maryland,usa
550,550,40612,25.0,en,sterling heights,michigan,usa
551,551,43619,26.0,en,shrewsbury,massachusetts,usa
552,552,49980,27.0,en,new hartford,new york,usa
553,553,52832,34.74389988072476,en,highland park,illinois,usa
554,554,57105,32.0,en,roswell,georgia,usa
555,555,58363,81.0,en,colorado springs,colorado,usa
556,556,60609,34.74389988072476,en,lavergne,tennessee,usa
557,557,61619,34.74389988072476,en,coburg,oregon,usa
558,558,63956,28.0,en,emporia,kansas,usa
559,559,64763,43.0,en,chicago,illinois,usa
560,560,68080,43.0,en,manchester,",",
561,561,68943,34.74389988072476,en,coventry,connecticut,usa
562,562,69378,46.0,en,mililani,hawaii,usa
563,563,73801,34.74389988072476,en,hemet,,usa
