,Unnamed: 0,user_id,location,age,isbn,rating,book_title,book_author,year_of_publication,publisher,img_m,Summary,Language,Category,city,state,country
10,10,177458,"ottawa, ontario, canada",29.0,0002005018,8,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg,"In a small town in Canada, Clara Callan reluctantly takes leave of her
sister, Nora, who is bound for New York.",en,Actresses,ottawa,ontario,canada
11,15,8,"timmins, ontario, canada",34.74389988072476,0060973129,8,Decision in Normandy,Carlo D'Este,1991.0,HarperPerennial,http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg,"Here, for the first time in paperback, is an outstanding military
history that offers a dramatic new perspective on the Allied campaign
that began with the invasion of the D-Day beaches of Normandy. Nationa
advertising in Military History.",en,1940-1949,timmins,ontario,canada
12,16,2954,"wichita, kansas, usa",71.0,0060973129,8,Decision in Normandy,Carlo D'Este,1991.0,HarperPerennial,http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg,"Here, for the first time in paperback, is an outstanding military
history that offers a dramatic new perspective on the Allied campaign
that began with the invasion of the D-Day beaches of Normandy. Nationa
advertising in Military History.",en,1940-1949,wichita,kansas,usa
13,17,152827,"ottawa, ontario, canada",40.0,0060973129,7,Decision in Normandy,Carlo D'Este,1991.0,HarperPerennial,http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg,"Here, for the first time in paperback, is an outstanding military
history that offers a dramatic new perspective on the Allied campaign
that began with the invasion of the D-Day beaches of Normandy. Nationa
advertising in Military History.",en,1940-1949,ottawa,ontario,canada
14,18,8,"timmins, ontario, canada",34.74389988072476,0374157065,8,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,"Describes the great flu epidemic of 1918, an outbreak that killed some
forty million people worldwide, and discusses the efforts of
scientists and public health officials to understand and prevent
another lethal pandemic",en,Medical,timmins,ontario,canada
15,19,35704,"kansas city, missouri, usa",53.0,0374157065,6,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,"Describes the great flu epidemic of 1918, an outbreak that killed some
forty million people worldwide, and discusses the efforts of
scientists and public health officials to understand and prevent
another lethal pandemic",en,Medical,kansas city,missouri,usa
16,20,83160,"oregon city, oregon, usa",65.0,0374157065,8,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,"Describes the great flu epidemic of 1918, an outbreak that killed some
forty million people worldwide, and discusses the efforts of
scientists and public health officials to understand and prevent
another lethal pandemic",en,Medical,oregon city,oregon,usa
17,21,110912,"milpitas, california, usa",36.0,0374157065,10,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,"Describes the great flu epidemic of 1918, an outbreak that killed some
forty million people worldwide, and discusses the efforts of
scientists and public health officials to understand and prevent
another lethal pandemic",en,Medical,milpitas,california,usa
18,22,137688,"medford, new york, usa",46.0,0374157065,8,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,"Describes the great flu epidemic of 1918, an outbreak that killed some
forty million people worldwide, and discusses the efforts of
scientists and public health officials to understand and prevent
another lethal pandemic",en,Medical,medford,new york,usa
19,23,157969,"denver, colorado, usa",30.0,0374157065,8,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,"Describes the great flu epidemic of 1918, an outbreak that killed some
forty million people worldwide, and discusses the efforts of
scientists and public health officials to understand and prevent
another lethal pandemic",en,Medical,denver,colorado,usa
20,24,169187,"edmonton, alberta, canada",34.74389988072476,0374157065,8,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,"Describes the great flu epidemic of 1918, an outbreak that killed some
forty million people worldwide, and discusses the efforts of
scientists and public health officials to understand and prevent
another lethal pandemic",en,Medical,edmonton,alberta,canada
21,25,192665,"vacaville, california, usa",47.0,0374157065,8,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,"Describes the great flu epidemic of 1918, an outbreak that killed some
forty million people worldwide, and discusses the efforts of
scientists and public health officials to understand and prevent
another lethal pandemic",en,Medical,vacaville,california,usa
22,26,197659,"indiana, pennsylvania, usa",49.0,0374157065,9,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,"Describes the great flu epidemic of 1918, an outbreak that killed some
forty million people worldwide, and discusses the efforts of
scientists and public health officials to understand and prevent
another lethal pandemic",en,Medical,indiana,pennsylvania,usa
23,27,208059,"payson, arizona, usa",34.74389988072476,0374157065,6,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,"Describes the great flu epidemic of 1918, an outbreak that killed some
forty million people worldwide, and discusses the efforts of
scientists and public health officials to understand and prevent
another lethal pandemic",en,Medical,payson,arizona,usa
24,29,8,"timmins, ontario, canada",34.74389988072476,0393045218,8,The Mummies of Urumchi,E. J. W. Barber,1999.0,W. W. Norton & Company,http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg,"A look at the incredibly well-preserved ancient mummies found in
Western China describes their clothing and appearance, attempts to
reconstruct their culture, and speculates about how Caucasians could
have found their way to the feet of the ...",en,Design,timmins,ontario,canada
25,30,8,"timmins, ontario, canada",34.74389988072476,0399135782,8,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,"A Chinese immigrant who is convinced she is dying threatens to
celebrate the Chinese New Year by unburdening herself of
everybody&#39;s hidden truths, thus prompting a series of comic
misunderstandings",en,Fiction,timmins,ontario,canada
26,31,11676,"n/a, n/a, n/a",34.74389988072476,0399135782,9,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,"A Chinese immigrant who is convinced she is dying threatens to
celebrate the Chinese New Year by unburdening herself of
everybody&#39;s hidden truths, thus prompting a series of comic
misunderstandings",en,Fiction,,,
27,32,29526,"knoxville, tennessee, usa",26.0,0399135782,9,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,"A Chinese immigrant who is convinced she is dying threatens to
celebrate the Chinese New Year by unburdening herself of
everybody&#39;s hidden truths, thus prompting a series of comic
misunderstandings",en,Fiction,knoxville,tennessee,usa
28,33,36836,"raleigh, north carolina, usa",56.0,0399135782,8,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,"A Chinese immigrant who is convinced she is dying threatens to
celebrate the Chinese New Year by unburdening herself of
everybody&#39;s hidden truths, thus prompting a series of comic
misunderstandings",en,Fiction,raleigh,north carolina,usa
29,34,46398,"san antonio, texas, usa",37.0,0399135782,9,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,"A Chinese immigrant who is convinced she is dying threatens to
celebrate the Chinese New Year by unburdening herself of
everybody&#39;s hidden truths, thus prompting a series of comic
misunderstandings",en,Fiction,san antonio,texas,usa
30,35,49300,"loveland, colorado, usa",34.74389988072476,0399135782,8,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,"A Chinese immigrant who is convinced she is dying threatens to
celebrate the Chinese New Year by unburdening herself of
everybody&#39;s hidden truths, thus prompting a series of comic
misunderstandings",en,Fiction,loveland,colorado,usa
31,36,49635,"seattle, washington, usa",34.74389988072476,0399135782,9,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,"A Chinese immigrant who is convinced she is dying threatens to
celebrate the Chinese New Year by unburdening herself of
everybody&#39;s hidden truths, thus prompting a series of comic
misunderstandings",en,Fiction,seattle,washington,usa
32,37,67958,"idaho falls, idaho, usa",39.0,0399135782,10,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,"A Chinese immigrant who is convinced she is dying threatens to
celebrate the Chinese New Year by unburdening herself of
everybody&#39;s hidden truths, thus prompting a series of comic
misunderstandings",en,Fiction,idaho falls,idaho,usa
33,38,113270,"evanston, illinois, usa",25.0,0399135782,8,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,"A Chinese immigrant who is convinced she is dying threatens to
celebrate the Chinese New Year by unburdening herself of
everybody&#39;s hidden truths, thus prompting a series of comic
misunderstandings",en,Fiction,evanston,illinois,usa
34,39,113519,"pleasanton, california, usa",34.74389988072476,0399135782,8,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,"A Chinese immigrant who is convinced she is dying threatens to
celebrate the Chinese New Year by unburdening herself of
everybody&#39;s hidden truths, thus prompting a series of comic
misunderstandings",en,Fiction,pleasanton,california,usa
35,63,8,"timmins, ontario, canada",34.74389988072476,0425176428,8,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg,"Essays by respected military historians, including Stephen Ambrose,
David McCullough, James McPherson, and John Keegan, consider the
consequences if history had turned out differently, such as if the
weather on D-Day had been worse or if ...",en,History,timmins,ontario,canada
36,64,52614,"toccoa, ga., usa",33.0,0425176428,8,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg,"Essays by respected military historians, including Stephen Ambrose,
David McCullough, James McPherson, and John Keegan, consider the
consequences if history had turned out differently, such as if the
weather on D-Day had been worse or if ...",en,History,toccoa,ga.,usa
37,65,56193,"wahiawa, hawaii, usa",34.0,0425176428,8,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg,"Essays by respected military historians, including Stephen Ambrose,
David McCullough, James McPherson, and John Keegan, consider the
consequences if history had turned out differently, such as if the
weather on D-Day had been worse or if ...",en,History,wahiawa,hawaii,usa
38,66,225910,"annville, pennsylvania, usa",19.0,0425176428,8,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg,"Essays by respected military historians, including Stephen Ambrose,
David McCullough, James McPherson, and John Keegan, consider the
consequences if history had turned out differently, such as if the
weather on D-Day had been worse or if ...",en,History,annville,pennsylvania,usa
39,67,274634,"wahiawa, hawaii, usa",33.0,0425176428,8,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg,"Essays by respected military historians, including Stephen Ambrose,
David McCullough, James McPherson, and John Keegan, consider the
consequences if history had turned out differently, such as if the
weather on D-Day had been worse or if ...",en,History,wahiawa,hawaii,usa
40,68,8,"timmins, ontario, canada",34.74389988072476,0671870432,8,PLEADING GUILTY,Scott Turow,1993.0,Audioworks,http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg,9,9,9,timmins,ontario,canada
41,69,11676,"n/a, n/a, n/a",34.74389988072476,0671870432,8,PLEADING GUILTY,Scott Turow,1993.0,Audioworks,http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg,9,9,9,,,
42,70,24539,"cabrils, catalunya, spain",34.74389988072476,0671870432,8,PLEADING GUILTY,Scott Turow,1993.0,Audioworks,http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg,9,9,9,cabrils,catalunya,spain
43,71,8,"timmins, ontario, canada",34.74389988072476,0679425608,8,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996.0,Random House,http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg,"An authoritative, revisionist history of the golden age of piracy
draws on original archive material and records to provide a realistic
study of pirates and their lives that refutes many of the colorful
myths about the era. 35,000 first ...",en,Fiction,timmins,ontario,canada
44,72,8,"timmins, ontario, canada",34.74389988072476,074322678X,5,Where You'll Find Me: And Other Stories,Ann Beattie,2002.0,Scribner,http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg,"Now back in print, Ann Beattie&#39;s finest short story collection,
reissued to accompany the publication of her latest novel, &quot;The
Doctor&#39;s House.",en,Fiction,timmins,ontario,canada
45,73,8,"timmins, ontario, canada",34.74389988072476,0771074670,8,Nights Below Station Street,David Adams Richards,1988.0,Emblem Editions,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,Another story based in the fictional rural town in Miramichi.,en,Fiction,timmins,ontario,canada
46,74,11676,"n/a, n/a, n/a",34.74389988072476,0771074670,8,Nights Below Station Street,David Adams Richards,1988.0,Emblem Editions,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,Another story based in the fictional rural town in Miramichi.,en,Fiction,,,
47,75,98499,"toronto, ontario, canada",34.74389988072476,0771074670,8,Nights Below Station Street,David Adams Richards,1988.0,Emblem Editions,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,Another story based in the fictional rural town in Miramichi.,en,Fiction,toronto,ontario,canada
48,76,166596,"greenwood, british columbia, canada",57.0,0771074670,8,Nights Below Station Street,David Adams Richards,1988.0,Emblem Editions,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,Another story based in the fictional rural town in Miramichi.,en,Fiction,greenwood,british columbia,canada
49,77,189238,"dunedin, otago, new zealand",34.74389988072476,0771074670,6,Nights Below Station Street,David Adams Richards,1988.0,Emblem Editions,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,Another story based in the fictional rural town in Miramichi.,en,Fiction,dunedin,otago,new zealand
50,78,223066,"ottawa, ontario, canada",51.0,0771074670,8,Nights Below Station Street,David Adams Richards,1988.0,Emblem Editions,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,Another story based in the fictional rural town in Miramichi.,en,Fiction,ottawa,ontario,canada
51,79,8,"timmins, ontario, canada",34.74389988072476,080652121X,8,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000.0,Citadel Press,http://images.amazon.com/images/P/080652121X.01.MZZZZZZZ.jpg,"Hitler&#39;s Secret Bankers was the first book to disclose the
extensive collaboration among Swiss banks, the Swiss government, and
the Third Reich before and during World War II. Switzerland,
supposedly neutral in the war, seemed a safe haven ...",en,History,timmins,ontario,canada
52,80,8,"timmins, ontario, canada",34.74389988072476,0887841740,5,The Middle Stories,Sheila Heti,2004.0,House of Anansi Press,http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg,9,9,9,timmins,ontario,canada
53,81,92861,"vancouver, british columbia, canada",34.74389988072476,0887841740,8,The Middle Stories,Sheila Heti,2004.0,House of Anansi Press,http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg,9,9,9,vancouver,british columbia,canada
54,82,8,"timmins, ontario, canada",34.74389988072476,1552041778,5,Jane Doe,R. J. Kaiser,1999.0,Mira Books,http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg,9,9,9,timmins,ontario,canada
55,83,8,"timmins, ontario, canada",34.74389988072476,1558746218,8,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998.0,Health Communications,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,9,9,9,timmins,ontario,canada
56,84,3363,"knoxville, tennessee, usa",29.0,1558746218,8,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998.0,Health Communications,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,9,9,9,knoxville,tennessee,usa
57,85,61501,"timmins, ontario, canada",34.74389988072476,1558746218,7,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998.0,Health Communications,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,9,9,9,timmins,ontario,canada
58,86,148514,"barstow, california, usa",34.74389988072476,1558746218,10,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998.0,Health Communications,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,9,9,9,barstow,california,usa
59,87,174304,"st. louis, missouri, usa",26.0,1558746218,8,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998.0,Health Communications,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,9,9,9,st. louis,missouri,usa
60,88,177090,"ashland, missouri, usa",37.0,1558746218,8,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998.0,Health Communications,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,9,9,9,ashland,missouri,usa
61,89,256233,"glen allen, virginia, usa",34.74389988072476,1558746218,8,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998.0,Health Communications,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,9,9,9,glen allen,virginia,usa
62,90,263256,"knoxville, tennessee, usa",34.74389988072476,1558746218,10,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998.0,Health Communications,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,9,9,9,knoxville,tennessee,usa
63,91,8,"timmins, ontario, canada",34.74389988072476,1567407781,6,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998.0,Brilliance Audio - Trade,http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg,9,9,9,timmins,ontario,canada
64,92,8,"timmins, ontario, canada",34.74389988072476,1575663937,6,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999.0,Kensington Publishing Corp.,http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg,"This eye-opening, well-researched examination of mankind&#39;s oldest
competitor is filled with weirdly fascinating information about the
history of the rat and the way it consistently outsmarts man.
Illustrations.",en,Nature,timmins,ontario,canada
65,93,176875,"tampere, pirkanmaa, finland",31.0,1575663937,8,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999.0,Kensington Publishing Corp.,http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg,"This eye-opening, well-researched examination of mankind&#39;s oldest
competitor is filled with weirdly fascinating information about the
history of the rat and the way it consistently outsmarts man.
Illustrations.",en,Nature,tampere,pirkanmaa,finland
66,94,213915,"sheffield, s yorkshire, united kingdom",29.0,1575663937,8,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999.0,Kensington Publishing Corp.,http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg,"This eye-opening, well-researched examination of mankind&#39;s oldest
competitor is filled with weirdly fascinating information about the
history of the rat and the way it consistently outsmarts man.
Illustrations.",en,Nature,sheffield,s yorkshire,united kingdom
67,95,8,"timmins, ontario, canada",34.74389988072476,1881320189,7,Goodbye to the Buttermilk Sky,Julia Oliver,1994.0,River City Pub,http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg,"A beautifully narrated novel of time and place, &quot;Goodbye to the
Buttermilk Sky&quot; re-creates a southern summer when the depression
and the boll weevil turned hopes to dust.",en,Fiction,timmins,ontario,canada
68,96,35826,"prosperity, south carolina, usa",34.74389988072476,1881320189,8,Goodbye to the Buttermilk Sky,Julia Oliver,1994.0,River City Pub,http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg,"A beautifully narrated novel of time and place, &quot;Goodbye to the
Buttermilk Sky&quot; re-creates a southern summer when the depression
and the boll weevil turned hopes to dust.",en,Fiction,prosperity,south carolina,usa
69,97,226745,"humble, ,",38.0,1881320189,7,Goodbye to the Buttermilk Sky,Julia Oliver,1994.0,River City Pub,http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg,"A beautifully narrated novel of time and place, &quot;Goodbye to the
Buttermilk Sky&quot; re-creates a southern summer when the depression
and the boll weevil turned hopes to dust.",en,Fiction,humble,",",
70,98,9,"germantown, tennessee, usa",34.74389988072476,0440234743,8,The Testament,John Grisham,1999.0,Dell,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,"A suicidal billionaire, a burnt-out Washington litigator, and a woman
who has forsaken technology to work in the wilds of Brazil are all
brought together by an astounding mystery of the testament",en,Fiction,germantown,tennessee,usa
71,99,243,"arden hills, minnesota, usa",34.74389988072476,0440234743,8,The Testament,John Grisham,1999.0,Dell,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,"A suicidal billionaire, a burnt-out Washington litigator, and a woman
who has forsaken technology to work in the wilds of Brazil are all
brought together by an astounding mystery of the testament",en,Fiction,arden hills,minnesota,usa
72,100,388,"nashville, tennessee, usa",35.0,0440234743,8,The Testament,John Grisham,1999.0,Dell,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,"A suicidal billionaire, a burnt-out Washington litigator, and a woman
who has forsaken technology to work in the wilds of Brazil are all
brought together by an astounding mystery of the testament",en,Fiction,nashville,tennessee,usa
73,101,2977,"richland, washington, usa",25.0,0440234743,8,The Testament,John Grisham,1999.0,Dell,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,"A suicidal billionaire, a burnt-out Washington litigator, and a woman
who has forsaken technology to work in the wilds of Brazil are all
brought together by an astounding mystery of the testament",en,Fiction,richland,washington,usa
74,102,3329,"grantsville, utah, usa",34.74389988072476,0440234743,8,The Testament,John Grisham,1999.0,Dell,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,"A suicidal billionaire, a burnt-out Washington litigator, and a woman
who has forsaken technology to work in the wilds of Brazil are all
brought together by an astounding mystery of the testament",en,Fiction,grantsville,utah,usa
75,103,3363,"knoxville, tennessee, usa",29.0,0440234743,8,The Testament,John Grisham,1999.0,Dell,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,"A suicidal billionaire, a burnt-out Washington litigator, and a woman
who has forsaken technology to work in the wilds of Brazil are all
brought together by an astounding mystery of the testament",en,Fiction,knoxville,tennessee,usa
76,104,5760,"springfield, ,",19.0,0440234743,8,The Testament,John Grisham,1999.0,Dell,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,"A suicidal billionaire, a burnt-out Washington litigator, and a woman
who has forsaken technology to work in the wilds of Brazil are all
brought together by an astounding mystery of the testament",en,Fiction,springfield,",",
77,105,6795,"portland, oregon, usa",31.0,0440234743,8,The Testament,John Grisham,1999.0,Dell,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,"A suicidal billionaire, a burnt-out Washington litigator, and a woman
who has forsaken technology to work in the wilds of Brazil are all
brought together by an astounding mystery of the testament",en,Fiction,portland,oregon,usa
