,Unnamed: 0,isbn,book_title,book_author,year_of_publication,publisher,img_m,Summary,Language,Category
756,756,1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003.0,Cypress House,http://images.amazon.com/images/P/1879384493.01.MZZZZZZZ.jpg,"Provides advice on ways to succeed in business, finance, careers,
dating, marriage, school, and getting along with others.",en,Reference
759,759,0061076031,Mary-Kate & Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate & Ashley Olsen,2000.0,HarperEntertainment,http://images.amazon.com/images/P/0061076031.01.MZZZZZZZ.jpg,"Problems arise when identical twins Emma and Sam switch places in
order to solve each other&#39;s problems, and the girls worry that
things will only get worse if the truth about their plan is revealed.",en,Juvenile Fiction
762,762,0439095026,Tell Me This Isn't Happening,Robynn Clairday,1999.0,Scholastic,http://images.amazon.com/images/P/0439095026.01.MZZZZZZZ.jpg,"As explained by the kids themselves, this book offers a collection of
true stories that deal with moments of embarrassment and awkwardness
while providing tips and advice on how to handle such difficult
situations when they arise.",en,Juvenile Fiction
768,768,0689821166,Flood : Mississippi 1927,Kathleen Duey,1998.0,Aladdin,http://images.amazon.com/images/P/0689821166.01.MZZZZZZZ.jpg,"As the waters of the Mississippi River rise with each and every
moment, Molly and Garrett risk their lives to save their collection of
nickles and pennies as it is their only hope of getting out of their
poverty-stricken world. Original.",en,Juvenile Fiction
769,769,0971880107,Wild Animus,Rich Shapero,2004.0,Too Far,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,"Wild animus is a search for the primordial, a test of human
foundations and a journey to the breaking point.",en,Fiction
3271,3271,0345402871,Airframe,Michael Crichton,1997.0,Ballantine Books,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,"A fatal mid-air collision involving a commercial airliner prompts a
frantic, desperate investigation into the causes of the accident, in a
thriller exploring the issue of safety and security in the aircraft
industry",en,Fiction
3478,3478,0345417623,Timeline,MICHAEL CRICHTON,2000.0,Ballantine Books,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,"Using a quantum time machine, a group of young historians is sent back
to the year 1357 to rescue their trapped project leader.",en,Fiction
3885,3885,0312978383,Winter Solstice,Rosamunde Pilcher,2001.0,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312978383.01.MZZZZZZZ.jpg,9,9,9
3979,3979,0425099148,Death in the Clouds,Agatha Christie,1997.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425099148.01.MZZZZZZZ.jpg,"When Madame Giselle, the well-known Parisian moneylender, is poisoned
aboard the air liner Prometheus, all the other passengers become
murder suspects",en,Fiction
3996,3996,0553264990,Bant/Spec.Last of the Breed,Louis L'Amour,1987.0,Bantam Books,http://images.amazon.com/images/P/0553264990.01.MZZZZZZZ.jpg,9,9,9
4009,4009,0553278398,Prelude to Foundation (Foundation Novels (Paperback)),ISAAC ASIMOV,1989.0,Spectra,http://images.amazon.com/images/P/0553278398.01.MZZZZZZZ.jpg,"In the year 12,020 G.E., Hari Seldon arrives in the domed city of
Trantor and begins to develop his theory of psychohistory, which
predicts the rise of a power greater than the Empire. Reissue.",en,Fiction
4064,4064,0684823802,OUT OF THE SILENT PLANET,C.S. Lewis,1996.0,Scribner,http://images.amazon.com/images/P/0684823802.01.MZZZZZZZ.jpg,"Dr. Ransom is abducted to the eerie red planet, Malacandra, where his
escape and flight endanger both his life and his chances of ever
returning to Earth",en,Fiction
4074,4074,0891075275,Piercing the Darkness,Frank E. Peretti,1989.0,Crossway Books,http://images.amazon.com/images/P/0891075275.01.MZZZZZZZ.jpg,9,9,9
4122,4122,0891076182,Prophet,Frank E. Peretti,1992.0,Crossway Books,http://images.amazon.com/images/P/0891076182.01.MZZZZZZZ.jpg,9,9,9
4158,4158,0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003.0,Random House Trade Paperbacks,http://images.amazon.com/images/P/0375759778.01.MZZZZZZZ.jpg,"Five American expatriates living in Budapest in the early 1990s seek
to establish themselves and make their fortunes in a city still
haunted by the tragedies of its Communist past.",en,Fiction
4185,4185,0425163091,Chocolate Jesus,Stephan Jaramillo,1998.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425163091.01.MZZZZZZZ.jpg,"When Sydney Corbett comes up with the idea of making candy figures of
Jesus, it&#39;s just a business opportunity for him and the people at
Bea&#39;s Candies, but it is blasphemy for the Reverend Willie Domingo
and the Church of the Returning ...",en,Fiction
4194,4194,3404921038,Wie Barney es sieht.,Mordecai Richler,2002.0,L?bbe,http://images.amazon.com/images/P/3404921038.01.MZZZZZZZ.jpg,"Barney Panofsky ist ein alter Jude aus Montreal, der ein mittlere
Vermgen gemacht hat mit Import/Export, spter mit der Produktion von
unaussprechlich schlechten Seifenopern.",de,Canadian fiction
4196,4196,3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,2001.0,Goldmann,http://images.amazon.com/images/P/3442353866.01.MZZZZZZZ.jpg,"Im China des Jahres 671 gelingt Richter Di die Flucht vor der
skrupellosen Kaiserin Wu in die Hafenstadt Kanton. Doch auch dort ist
er nicht sicher.",de,9
4198,4198,3442410665,Sturmzeit. Roman.,Charlotte Link,1991.0,Goldmann,http://images.amazon.com/images/P/3442410665.01.MZZZZZZZ.jpg,9,9,9
4201,4201,3442446937,Tage der Unschuld.,Richard North Patterson,2000.0,Goldmann,http://images.amazon.com/images/P/3442446937.01.MZZZZZZZ.jpg,9,9,9
4202,4202,0375406328,Lying Awake,Mark Salzman,2000.0,Alfred A. Knopf,http://images.amazon.com/images/P/0375406328.01.MZZZZZZZ.jpg,"Sister John of the Cross, an elderly nun, experiences a series of
dazzling visions, but she is confronted with a difficult choice
between her spiritual gifts and curing the powerful headaches that
accompany her visions.",en,Fiction
4219,4219,0446310786,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown & Company,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,"The unforgettable novel of a childhood in a sleepy Southern town and
the crisis of conscience that rocked it, To Kill A Mockingbird became
both an instant bestseller and a critical success when it was first
published in 1960.",en,Fiction
4608,4608,0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,"True story of how three men and a great racehorse captivated the
world.",en,History
4854,4854,0060168013,Pigs in Heaven,Barbara Kingsolver,1993.0,Harpercollins,http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg,"As this spellbinding novel unfolds, it draws the reader into a world
of heartbreak and redeeming love, testing the boundaries of family and
the many separate truths about the ties that bind.",en,Fiction
4909,4909,038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,1996.0,Avon,http://images.amazon.com/images/P/038078243X.01.MZZZZZZZ.jpg,"Murder victim Stanley Plummer has been cataloging a collection of
Native American books for Bellehaven&#39;s new Cultural Center when
Helma steps in to complete the cataloging and find Plummer&#39;s
murderer on the side.",en,Fiction
4918,4918,055321215X,Pride and Prejudice,Jane Austen,1983.0,Bantam,http://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg,9,9,9
4921,4921,067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,1979.0,Fireside,http://images.amazon.com/images/P/067176537X.01.MZZZZZZZ.jpg,"With accurate descriptions of the changes that take place in body
temperature, levels of consciousness, and physiology during this
intense interaction, this book helps you interpret your healing
experience and get the most meaning from it.",en,Health & Fitness
4925,4925,0061099686,Downtown,Anne Rivers Siddons,1995.0,HarperTorch,http://images.amazon.com/images/P/0061099686.01.MZZZZZZZ.jpg,"Her new job as a writer with the city&#39;s Downtown magazine
introduces her to many unforgettable people and propels her into the
center of momentous events that will irrevocably alter her heart, her
career, and her world.",en,Fiction
4963,4963,0553582909,Icebound,Dean R. Koontz,2000.0,Bantam Books,http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg,9,9,9
4990,4990,0671888587,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg,"A young news reporter on assignment at a large metropolitan hospital
is horrified when she sees that a young Jane Doe whom paramedics have
failed to save has a face identical to her own",en,Fiction
5130,5130,0553582747,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg,"Koontz looks heavenward for inspiration in his newest suspense
thriller, which is chock-full of signs, portents, angels, and one
somewhat second-rate devil, a murky and undercharacterized guy named
Junior Cain who throws his beloved wife ...",en,Fiction
5295,5295,0425182908,Isle of Dogs,Patricia Cornwell,2002.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg,"Angered over the governor&#39;s order on speed traps, the eccentric
inhabitants of the Isle of Tangier, off the coast of Virginia, declare
war on their own state, and it is up to Judy Hammer, the new
superintendent of the state police, to stop ...",en,Fiction
5498,5498,042518630X,Purity in Death,J.D. Robb,2002.0,Berkley Publishing Group,http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg,"Eve Dallas must face the impossible: someone has unleashed a computer
virus that may be able to spread from machine to man.",en,Fiction
5604,5604,0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997.0,Dell,http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg,"Presents an anthology of Christmas stories reflecting on the various
ways in which the holidays serve as a catalyst to promote change,
growth, and new beginnings",en,Fiction
5663,5663,0812523873,Proxies,Laura J. Mixon,1999.0,Tor Books,http://images.amazon.com/images/P/0812523873.01.MZZZZZZZ.jpg,"New millennium has been born in fire. The Southwest has been parched
by global warming. Someone has discovered a way for humans to transmit
psychic brainwaves across hundreds of thousands of miles.",en,Fiction
5664,5664,0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000.0,Tyndale House Publishers,http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg,"The first book in the author&#39;s successful &quot;last days&quot;
series follows a 747 pilot as he tries to recover from the effects of
&quot;The Rapture.&quot; Reprint.",en,FICTION
5793,5793,0440225701,The Street Lawyer,JOHN GRISHAM,1999.0,Dell,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg,"After a violent encounter with a homeless man, talented corporate
lawyer Michael finds himself out in the streets, lucky to be alive,
and holding a top-secret file belonging to his former employers",en,Fiction
6172,6172,0060914068,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,1988.0,HarperCollins Publishers,http://images.amazon.com/images/P/0060914068.01.MZZZZZZZ.jpg,"Explores the link between mind and body, and shows how to become a
survivor.",en,Control (Psychology)
6182,6182,0156047624,All the King's Men,Robert Penn Warren,1982.0,Harvest Books,http://images.amazon.com/images/P/0156047624.01.MZZZZZZZ.jpg,9,9,9
6191,6191,0245542957,Pacific Northwest,Hans Johannes Hoefer,1985.0,Chambers Harrap Publishers Ltd,http://images.amazon.com/images/P/0245542957.01.MZZZZZZZ.jpg,9,9,9
6192,6192,0380715899,A Soldier of the Great War,Mark Helprin,1992.0,Avon Books,http://images.amazon.com/images/P/0380715899.01.MZZZZZZZ.jpg,"Encountering a younger man on a road in Italy, seventy-something
professor Alessandro Guiliani recounts his experiences, spinning a
tale of love, loss, tragedy, madmen, dwarves, and mafiosi. Reprint.",en,Fiction
6213,6213,0553280333,Getting Well Again,O. Carol Simonton Md,1992.0,Bantam,http://images.amazon.com/images/P/0553280333.01.MZZZZZZZ.jpg,9,9,9
6217,6217,0961769947,Northwest Wines and Wineries,Chuck Hill,1993.0,Speed Graphics,http://images.amazon.com/images/P/0961769947.01.MZZZZZZZ.jpg,9,9,9
6218,6218,0964778319,An Atmosphere of Eternity: Stories of India,David Iglehart,2002.0,Sunflower Press,http://images.amazon.com/images/P/0964778319.01.MZZZZZZZ.jpg,"Ten short stories set in India, dealing with the unpredictable effects
of contact between Indians and Americans.",en,Fiction
6220,6220,0671623249,LONESOME DOVE,Larry McMurtry,1986.0,Pocket,http://images.amazon.com/images/P/0671623249.01.MZZZZZZZ.jpg,9,9,9
6273,6273,0679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991.0,Laurel Leaf,http://images.amazon.com/images/P/0679810307.01.MZZZZZZZ.jpg,"Shabanu, a young nomad of the Cholistan Desert, must submit to the
marriage her father arranges for her, or go against centuries of
tradition by defying him.",en,Cholistan Desert (Pakistan)
6290,6290,0679865691,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995.0,Laurel Leaf,http://images.amazon.com/images/P/0679865691.01.MZZZZZZZ.jpg,"Having relented to the ways of her people in Pakistan and married the
rich older man to whom she was pledged against her will, Shabanu is
now the victim of his family&#39;s blood feud and the malice of his
other wives",en,Juvenile Fiction
6298,6298,2070423204,Lieux dits,Michel Tournier,2002.0,Gallimard,http://images.amazon.com/images/P/2070423204.01.MZZZZZZZ.jpg,"Boire un chocolat chaud ou un vin de Tokay  Prague en compagnie de
Mozart et Da Ponte, sjourner  Weimar avec Bach et Goethe,
s&#39;envoler pour le Japon, atterrir  Bombay, flner sur l&#39;le
Saint-Louis, crer un jardin &quot;de cur&quot;, ...",fr,Fiction
6300,6300,0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978.0,Ballantine Books,http://images.amazon.com/images/P/0345260317.01.MZZZZZZZ.jpg,"Dr. Carl Sagan Takes Us on a Great Reading Adventure, Offering his
Vivid and Startling Insight Into the Brain of Man and Beast, the
Origin of Human Intelligence, the Function of our Most Haunting
Legends -- and Their Amazing Links to Recent ...",en,Science
6315,6315,0394743741,The yawning heights,Aleksandr Zinoviev,1980.0,Random House,http://images.amazon.com/images/P/0394743741.01.MZZZZZZZ.jpg,9,9,9
6316,6316,042511774X,Breathing Lessons,Anne Tyler,1994.0,Berkley Publishing Group,http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg,9,9,9
6486,6486,0804106304,The Joy Luck Club,Amy Tan,1994.0,Prentice Hall (K-12),http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,9,9,9
7005,7005,1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998.0,NTC/Contemporary Publishing Company,http://images.amazon.com/images/P/1853262404.01.MZZZZZZZ.jpg,"Generally regarded as the pre-eminent work of Conrad&#39;s shorter
fiction, &#39;Heart of Darkness&#39; is a chilling tale of horror
which, as the author intended, is capable of many interpretations.",en,Fiction
7018,7018,0312970242,The Angel Is Near,Deepak Chopra,2000.0,St. Martin's Press,http://images.amazon.com/images/P/0312970242.01.MZZZZZZZ.jpg,"American physician Michael Aulden stands at the center of an epic
global confrontation of the body, mind, and soul, as humankind must
choose between the forces of good and evil, with the fate of the
entire world at stake. Original.",en,Fiction
7025,7025,1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997.0,NTC/Contemporary Publishing Company,http://images.amazon.com/images/P/1853260053.01.MZZZZZZZ.jpg,"The story of a simple country girl whose family&#39;s pretentions lead
to her destruction",en,Fiction
7054,7054,1414035004,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,2003.0,1stBooks Library,http://images.amazon.com/images/P/1414035004.01.MZZZZZZZ.jpg,9,9,9
7055,7055,0060938412,The Accidental Virgin,Valerie Frankel,2003.0,Avon Trade,http://images.amazon.com/images/P/0060938412.01.MZZZZZZZ.jpg,"You were so promising at the beginning: Sexy, smart, personable and
funny. Great on dates and really great afterward-if you know what I
mean. But this is a sad state of affairs; or, in your case, non-
affairs!",en,Fiction
7071,7071,0140067477,The Tao of Pooh,Benjamin Hoff,1983.0,Penguin Books,http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg,"An expert in Chinese philosophy explains facets of Taoism using
Milne&#39;s famous character and explores the world of Winnie-the-Pooh
through Tao, characterizing Pooh as a simple bear who subscribes to
the principles of successful living",en,Humor
7260,7260,0345465083,Seabiscuit,LAURA HILLENBRAND,2003.0,Ballantine Books,http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg,"Retraces the journey of Seabiscuit, a horse with crooked legs and a
pathetic tail that made racing history in 1938, thanks to the efforts
of a trainer, owner, and jockey who transformed a bottom-level
racehorse into a legend.",en,History
7447,7447,0451625889,The Prince,Niccolo Machiavelli,1952.0,Signet Book,http://images.amazon.com/images/P/0451625889.01.MZZZZZZZ.jpg,"This book aims to deliver significant scientific progress on the
problem of the erosion of geomaterials, focusing on the
mechanical/physical aspect.",en,Political ethics
7448,7448,1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991.0,Thomas Nelson,http://images.amazon.com/images/P/1558531025.01.MZZZZZZZ.jpg,A collection of advice on how to live a happy and rewarding life.,en,Conduct of life
7537,7537,0441783589,Starship Troopers,Robert A. Heinlein,1987.0,Ace Books,http://images.amazon.com/images/P/0441783589.01.MZZZZZZZ.jpg,"In a futuristic military adventure a recruit goes through the roughest
boot camp in the universe and into battle with the Terran Mobile
Infantry in what historians would come to call the First Interstellar
War",en,Fiction
7616,7616,0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988.0,Laurel Leaf,http://images.amazon.com/images/P/0394895894.01.MZZZZZZZ.jpg,9,9,9
7659,7659,1569871213,Black Beauty (Illustrated Classics),Anna Sewell,1995.0,Landoll,http://images.amazon.com/images/P/1569871213.01.MZZZZZZZ.jpg,"A horse in nineteenth-century England recounts his experiences with
both good and bad masters.",en,Horses
7663,7663,0375410538,Anil's Ghost,MICHAEL ONDAATJE,2000.0,Knopf,http://images.amazon.com/images/P/0375410538.01.MZZZZZZZ.jpg,"A forensic pathologist returns to Sri Lanka--after 15 years abroad--to
assist in identifying victims of the country&#39;s civil war",en,Fiction
7692,7692,0966986105,Prescription for Terror,Sandra Levy Ceren,1999.0,Andrew Scott Publishers,http://images.amazon.com/images/P/0966986105.01.MZZZZZZZ.jpg,"When rape and murder strike young, single women on the sun-drenched
San Diego coast, police are stumped.",en,Fiction
7693,7693,087113375X,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,1990.0,Atlantic Monthly Press,http://images.amazon.com/images/P/087113375X.01.MZZZZZZZ.jpg,9,9,9
7703,7703,0340767936,Turning Thirty,Mike Gayle,2000.0,Hodder & Stoughton General Division,http://images.amazon.com/images/P/0340767936.01.MZZZZZZZ.jpg,9,9,9
7715,7715,0743403843,Decipher,Stel Pavlou,2002.0,Simon & Schuster (Trade Division),http://images.amazon.com/images/P/0743403843.01.MZZZZZZZ.jpg,9,9,9
7722,7722,0060930365,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,1999.0,Perennial,http://images.amazon.com/images/P/0060930365.01.MZZZZZZZ.jpg,9,9,9
7726,7726,0060177586,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,1994.0,Harpercollins,http://images.amazon.com/images/P/0060177586.01.MZZZZZZZ.jpg,9,9,9
7734,7734,0071416331,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,2003.0,McGraw-Hill,http://images.amazon.com/images/P/0071416331.01.MZZZZZZZ.jpg,9,9,9
7735,7735,0375509038,The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,2003.0,Random House,http://images.amazon.com/images/P/0375509038.01.MZZZZZZZ.jpg,"An account of the first year of George W. Bush&#39;s presidency
explores key events, including his controversial election, the
September 11th terrorist attack and its aftermath, and their long-term
implications for the United States.",en,Political Science
7737,7737,0553062042,Daybreakers Louis Lamour Collection,Louis Lamour,1981.0,Bantam Doubleday Dell,http://images.amazon.com/images/P/0553062042.01.MZZZZZZZ.jpg,Tyrel and Orrin Sackett travel from Tennessee to Santa Fe.,en,Brothers
7739,7739,0316769487,The Catcher in the Rye,J.D. Salinger,1991.0,"Little, Brown",http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg,"&quot; The hero-narrator of The Catcher in the Rye is an ancient child
of sixteen, a native New Yorker named Holden Caufield.",en,Fiction
8142,8142,8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001.0,Minotauro,http://images.amazon.com/images/P/8445071408.01.MZZZZZZZ.jpg,"Esplendida traduccion castellana de esta prodigiosa y fantastica
trilogia? Nadie podra regatearle a Tolkien el oficio de buen narrador,
de buen escritor que sabe ganarse incondicionalmente el animo de los
lectores.",es,"Baggins, Frodo (Fictitious character)"
8158,8158,8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,2001.0,Minotauro,http://images.amazon.com/images/P/8445071769.01.MZZZZZZZ.jpg,9,9,9
8168,8168,8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,2001.0,Distribooks,http://images.amazon.com/images/P/8445071777.01.MZZZZZZZ.jpg,"Los ejrcitos del Seor Oscuro van extendiendo cada vez ms su
malfica sombra por la Tierra Media.",es,"Baggins, Frodo (Fictitious character)"
8178,8178,0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994.0,Random House,http://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg,"In charming, beautiful, and wealthy old-South Savannah, Georgia, the
local bad boy is shot dead inside of the opulent mansion of a gay
antiques dealer, and a gripping trial follows",en,History
